
Corrida;Generación;Mínimo;Máximo;Media;Varianza
1;0;59,000000;1455,000000;495,929993;71631,562500
1;0;94,000000;972,000000;340,359985;44023,199219
1;1;94,000000;902,000000;293,880005;39386,343750
1;2;94,000000;1672,000000;263,369995;49161,695312
1;3;94,000000;1523,000000;263,579987;48915,589844
1;4;88,000000;1015,000000;204,000000;30214,500000
1;5;94,000000;908,000000;190,369995;23032,875000
1;6;88,000000;1433,000000;211,130005;42685,449219
1;7;88,000000;1511,000000;185,199997;37352,339844
1;8;88,000000;1158,000000;189,350006;37491,945312
1;9;88,000000;1237,000000;194,070007;41949,562500
1;10;88,000000;1750,000000;184,949997;48562,289062
1;11;88,000000;772,000000;166,490005;23252,447266
1;12;88,000000;1762,000000;181,500000;57087,171875
1;13;88,000000;787,000000;141,800003;17992,318359
1;14;88,000000;886,000000;159,559998;28694,566406
1;15;88,000000;860,000000;141,070007;18007,482422
1;16;88,000000;1033,000000;152,410004;25780,160156
1;17;92,000000;924,000000;151,330002;24943,220703
1;18;88,000000;1476,000000;150,300003;32884,968750
1;19;88,000000;1370,000000;159,369995;32601,173828
1;20;92,000000;662,000000;138,130005;12154,051758
1;21;88,000000;1202,000000;148,929993;22111,646484
1;22;88,000000;1001,000000;152,779999;23931,671875
1;23;88,000000;880,000000;140,350006;15445,786133
1;24;88,000000;944,000000;160,869995;37289,113281
1;25;88,000000;796,000000;148,919998;20304,353516
1;26;88,000000;1032,000000;156,339996;25141,765625
1;27;88,000000;852,000000;176,539993;28021,150391
1;28;88,000000;780,000000;152,240005;18642,259766
1;29;88,000000;840,000000;138,160004;17559,113281
1;30;88,000000;944,000000;137,839996;22161,416016
1;31;88,000000;1618,000000;167,889999;54354,558594
1;32;88,000000;878,000000;169,750000;29389,828125
1;33;88,000000;768,000000;158,089996;23938,982422
1;34;88,000000;773,000000;155,130005;22878,271484
1;35;88,000000;710,000000;128,479996;10917,110352
1;36;88,000000;884,000000;159,479996;23425,011719
1;37;88,000000;792,000000;162,809998;21761,054688
1;38;88,000000;1040,000000;157,419998;23497,625000
1;39;88,000000;730,000000;147,720001;19082,041016
1;40;88,000000;876,000000;172,720001;35663,441406
1;41;88,000000;1041,000000;174,520004;34742,988281
1;42;88,000000;1068,000000;149,979996;25816,621094
1;43;88,000000;735,000000;142,600006;15450,498047
1;44;88,000000;1010,000000;151,869995;28907,234375
1;45;88,000000;1044,000000;141,970001;23350,568359
1;46;88,000000;1210,000000;132,639999;22868,630859
1;47;88,000000;802,000000;140,039993;18928,480469
1;48;88,000000;728,000000;143,759995;18792,503906
1;49;88,000000;622,000000;133,740005;11834,090820
1;50;88,000000;730,000000;129,080002;11899,333008
1;51;88,000000;730,000000;126,510002;9255,529297
1;52;88,000000;1011,000000;140,740005;18690,050781
1;53;88,000000;1156,000000;169,929993;39020,828125
1;54;88,000000;678,000000;132,410004;12533,460938
1;55;88,000000;816,000000;164,100006;27350,548828
1;56;88,000000;842,000000;141,220001;18393,332031
1;57;88,000000;906,000000;139,309998;20817,734375
1;58;88,000000;646,000000;120,589996;8422,902344
1;59;88,000000;1240,000000;162,320007;37911,214844
1;60;88,000000;1324,000000;147,369995;28265,574219
1;61;88,000000;1448,000000;158,360001;41133,429688
1;62;88,000000;917,000000;145,669998;25826,541016
1;63;88,000000;836,000000;156,440002;27580,345703
1;64;88,000000;1084,000000;152,690002;25027,353516
1;65;88,000000;1058,000000;132,529999;22794,888672
1;66;88,000000;684,000000;124,309998;10647,454102
1;67;88,000000;1063,000000;141,990005;18189,369141
1;68;92,000000;1281,000000;193,360001;60823,332031
1;69;92,000000;1370,000000;193,220001;48595,109375
1;70;94,000000;1048,000000;143,729996;22136,218750
1;71;88,000000;622,000000;111,559998;5300,287109
1;72;88,000000;788,000000;129,100006;14233,928711
1;73;92,000000;683,000000;121,879997;8596,866211
1;74;88,000000;875,000000;130,419998;15183,144531
1;75;92,000000;1101,000000;140,419998;20967,023438
1;76;88,000000;650,000000;133,179993;14688,969727
1;77;92,000000;855,000000;126,330002;12481,700195
1;78;94,000000;902,000000;148,669998;20430,800781
1;79;94,000000;862,000000;128,869995;10984,534180
1;80;94,000000;1441,000000;159,279999;37740,683594
1;81;94,000000;747,000000;162,479996;26523,351562
1;82;88,000000;826,000000;140,330002;17217,160156
1;83;88,000000;1138,000000;151,089996;26986,222656
1;84;88,000000;676,000000;168,610001;24095,398438
1;85;88,000000;670,000000;166,669998;25601,501953
1;86;88,000000;904,000000;146,630005;19825,011719
1;87;94,000000;1337,000000;156,050003;35541,765625
1;88;94,000000;868,000000;127,970001;18127,968750
1;89;94,000000;906,000000;119,599998;13283,840820
1;90;94,000000;954,000000;140,960007;24030,277344
1;91;94,000000;1305,000000;175,360001;49331,968750
1;92;94,000000;1074,000000;139,039993;19833,800781
1;93;94,000000;920,000000;143,710007;22546,324219
1;94;88,000000;1165,000000;141,750000;22795,568359
1;95;88,000000;690,000000;131,080002;13199,573242
1;96;88,000000;830,000000;148,339996;17270,425781
1;97;88,000000;1050,000000;130,639999;15289,150391
1;98;88,000000;983,000000;151,119995;20899,466797
1;99;88,000000;1501,000000;153,779999;35530,832031
