
Corrida;Generación;Mínimo;Máximo;Media;Varianza
1;0;88,000000;1454,000000;522,090027;80289,585938
1;0;88,000000;1747,000000;386,328003;65716,757812
1;1;88,000000;1192,000000;285,247986;41798,640625
1;2;78,000000;1605,000000;245,938004;40199,738281
1;3;88,000000;1447,000000;217,419998;35258,769531
1;4;78,000000;1290,000000;189,557999;26315,117188
1;5;78,000000;1282,000000;177,837997;29018,390625
1;6;88,000000;1408,000000;160,865997;23322,738281
1;7;88,000000;1445,000000;155,341995;23661,751953
1;8;88,000000;1335,000000;149,035995;23646,175781
1;9;88,000000;1476,000000;149,184006;25248,755859
1;10;88,000000;1530,000000;165,785995;36396,914062
1;11;88,000000;1531,000000;146,826004;22693,804688
1;12;88,000000;1467,000000;148,770004;28804,693359
1;13;88,000000;1014,000000;158,399994;27015,257812
1;14;88,000000;1177,000000;150,395996;24203,691406
1;15;88,000000;1584,000000;140,623993;19361,595703
1;16;88,000000;1157,000000;146,436005;22331,689453
1;17;88,000000;1336,000000;152,451996;24346,636719
1;18;88,000000;1357,000000;148,421997;27912,183594
1;19;88,000000;1298,000000;157,052002;28886,197266
1;20;88,000000;1088,000000;131,951996;16174,354492
1;21;88,000000;911,000000;144,220001;19533,751953
1;22;88,000000;1375,000000;162,210007;33878,664062
1;23;88,000000;1254,000000;144,408005;20827,912109
1;24;88,000000;1340,000000;152,537994;27044,255859
1;25;88,000000;1043,000000;151,522003;21859,794922
1;26;88,000000;1688,000000;155,781998;32267,585938
1;27;88,000000;1552,000000;158,324005;32465,933594
1;28;88,000000;1568,000000;156,436005;30618,384766
1;29;88,000000;1535,000000;156,479996;29173,371094
1;30;88,000000;1486,000000;151,949997;31503,509766
1;31;88,000000;1460,000000;153,917999;27452,345703
1;32;88,000000;1317,000000;150,132004;25986,750000
1;33;88,000000;1449,000000;142,108002;22383,699219
1;34;88,000000;1236,000000;148,705994;24032,503906
1;35;88,000000;1256,000000;152,520004;23442,087891
1;36;88,000000;1463,000000;148,617996;25258,546875
1;37;88,000000;1341,000000;148,408005;21273,447266
1;38;88,000000;1504,000000;157,667999;31948,097656
1;39;88,000000;1708,000000;169,039993;35744,593750
1;40;88,000000;1069,000000;154,845993;23937,501953
1;41;88,000000;1724,000000;163,334000;33708,628906
1;42;88,000000;1312,000000;153,095993;27141,400391
1;43;88,000000;1271,000000;147,255997;23161,550781
1;44;88,000000;1459,000000;160,373993;29441,894531
1;45;88,000000;1333,000000;149,940002;23084,140625
1;46;88,000000;1102,000000;140,251999;17403,640625
1;47;88,000000;1432,000000;150,238007;26284,437500
1;48;88,000000;1078,000000;150,356003;22793,128906
1;49;88,000000;1604,000000;158,205994;33011,199219
1;50;88,000000;1171,000000;144,332001;21101,001953
1;51;88,000000;1406,000000;148,143997;23145,828125
1;52;88,000000;1243,000000;139,723999;18922,789062
1;53;88,000000;1164,000000;147,175995;22130,730469
1;54;88,000000;1016,000000;143,707993;19128,869141
1;55;88,000000;1347,000000;151,156006;24515,886719
1;56;88,000000;1278,000000;143,414001;22278,384766
1;57;88,000000;1330,000000;155,973999;28407,400391
1;58;88,000000;1141,000000;148,339996;22266,876953
1;59;88,000000;1658,000000;152,981995;27288,628906
1;60;88,000000;1161,000000;133,257996;13483,968750
1;61;88,000000;1228,000000;146,132004;23561,326172
1;62;88,000000;1533,000000;151,940002;32270,324219
1;63;88,000000;1119,000000;144,951996;21546,902344
1;64;88,000000;1490,000000;138,050003;19664,621094
1;65;88,000000;1385,000000;145,938004;22969,675781
1;66;88,000000;1239,000000;138,514008;18027,468750
1;67;88,000000;1308,000000;149,556000;23643,730469
1;68;88,000000;1237,000000;141,294006;20608,587891
1;69;88,000000;1746,000000;150,182007;30707,693359
1;70;88,000000;1208,000000;145,522003;25448,417969
1;71;88,000000;1325,000000;142,143997;22997,636719
1;72;88,000000;1040,000000;145,656006;21962,072266
1;73;88,000000;1062,000000;153,496002;27921,968750
1;74;88,000000;1231,000000;142,710007;20814,333984
1;75;88,000000;1481,000000;154,138000;31175,396484
1;76;88,000000;1706,000000;135,065994;21028,498047
1;77;88,000000;1169,000000;143,264008;24534,583984
1;78;88,000000;1240,000000;149,171997;27494,347656
1;79;88,000000;1614,000000;152,285995;27336,783203
1;80;88,000000;1636,000000;156,098007;33731,074219
1;81;88,000000;1177,000000;148,149994;25569,427734
1;82;88,000000;1130,000000;150,197998;25862,937500
1;83;88,000000;1050,000000;145,914001;20471,705078
1;84;88,000000;988,000000;140,376007;17225,697266
1;85;88,000000;1081,000000;149,639999;26374,166016
1;86;88,000000;1435,000000;147,492004;25171,996094
1;87;88,000000;1077,000000;152,067993;26164,757812
1;88;88,000000;1298,000000;145,753998;23250,828125
1;89;88,000000;1142,000000;147,977997;21551,808594
1;90;88,000000;1432,000000;149,108002;25255,931641
1;91;88,000000;1421,000000;143,677994;25530,001953
1;92;88,000000;1245,000000;147,143997;26199,259766
1;93;88,000000;1762,000000;151,300003;31623,525391
1;94;88,000000;1394,000000;148,084000;28798,880859
1;95;88,000000;1519,000000;142,692001;21810,849609
1;96;88,000000;1212,000000;146,636002;24798,835938
1;97;88,000000;1311,000000;155,990005;31510,669922
1;98;88,000000;1416,000000;150,757996;27424,242188
1;99;88,000000;1183,000000;146,580002;23986,478516
1;100;88,000000;1152,000000;146,897995;26034,074219
1;101;88,000000;940,000000;148,278000;19877,867188
1;102;88,000000;886,000000;145,981995;20493,617188
1;103;88,000000;1178,000000;140,662003;20679,880859
1;104;88,000000;1250,000000;149,306000;22850,111328
1;105;88,000000;1214,000000;145,362000;21094,392578
1;106;88,000000;1399,000000;148,054001;25762,667969
1;107;88,000000;1385,000000;157,389999;33112,980469
1;108;88,000000;1255,000000;143,899994;25376,480469
1;109;88,000000;1362,000000;148,447998;27989,392578
1;110;88,000000;1746,000000;148,822006;26772,482422
1;111;88,000000;1051,000000;140,550003;19742,224609
1;112;88,000000;1348,000000;145,031998;22624,031250
1;113;88,000000;1018,000000;144,964005;21034,060547
1;114;88,000000;1256,000000;149,826004;28516,873047
1;115;88,000000;1364,000000;151,250000;27946,902344
1;116;88,000000;1171,000000;145,934006;26187,138672
1;117;88,000000;1386,000000;152,962006;31501,240234
1;118;88,000000;1261,000000;146,940002;27650,466797
1;119;88,000000;1237,000000;146,798004;24242,945312
